case_name,area,num_rooms,num_paths,avg_path_length,mode_path_length,len_shortest_path,degree_dom_node
65538,33.330487000000005,5.0,1.0,3.0,3.0,3.0,1.0
39315,110.96501900000001,8.0,22.0,5.454545454545454,6.0,3.0,2.0
57885,79.497516,8.0,4.0,4.25,5.0,3.0,1.0
132563,113.00640700000001,12.0,15.0,5.133333333333334,5.0,3.0,2.0
30791,113.413875,11.0,3.0,5.0,5.0,5.0,1.0
52561,95.396168,8.0,16.0,5.375,5.0,3.0,2.0
46048,54.016286,7.0,4.0,4.75,5.0,4.0,1.0
95887,90.517267,12.0,12.0,6.833333333333333,7.0,5.0,3.0
60166,28.532861999999998,3.0,1.0,3.0,3.0,3.0,1.0
19019,128.819798,15.0,15.0,4.466666666666667,4.0,3.0,4.0
60350,58.83166,6.0,3.0,5.0,5.0,5.0,1.0
13882,77.107313,7.0,6.0,4.666666666666667,6.0,3.0,2.0
27314,116.37641299999999,10.0,2.0,3.5,4.0,3.0,1.0
7200,85.067167,7.0,4.0,5.5,6.0,5.0,2.0
100785,90.913111,9.0,4.0,5.25,5.0,5.0,1.0
27556,59.527228000000015,8.0,12.0,5.0,5.0,3.0,2.0
36372,117.11543100000002,10.0,1.0,5.0,5.0,5.0,1.0
34104,77.351785,8.0,5.0,4.6,5.0,4.0,1.0
13324,91.45859200000001,9.0,8.0,4.5,6.0,3.0,2.0
38977,93.76572599999999,9.0,3.0,5.0,6.0,3.0,3.0
106718,80.212197,9.0,4.0,5.25,5.0,5.0,1.0
36322,64.718406,8.0,3.0,5.666666666666667,6.0,5.0,1.0
153522,92.15248199999999,11.0,12.0,5.333333333333333,5.0,3.0,2.0
37582,70.31006099999999,7.0,8.0,4.75,6.0,3.0,2.0
7319,84.51816400000001,7.0,4.0,5.5,6.0,5.0,2.0
146915,81.68519200000001,9.0,12.0,5.333333333333333,5.0,5.0,2.0
138695,88.42771199999999,10.0,8.0,5.25,5.0,5.0,1.0
70631,63.155521,8.0,3.0,5.0,5.0,5.0,1.0
57424,129.43129699999997,13.0,15.0,5.733333333333333,6.0,3.0,3.0
95095,59.02091,8.0,3.0,4.666666666666667,5.0,4.0,1.0
106521,125.14642800000001,14.0,12.0,5.833333333333333,6.0,5.0,2.0
30215,83.082363,9.0,10.0,4.5,5.0,3.0,2.0
134431,97.326315,11.0,5.0,5.0,5.0,4.0,1.0
49697,75.82817700000001,9.0,5.0,4.8,5.0,4.0,1.0
34539,145.550984,13.0,2.0,3.0,3.0,3.0,1.0
97187,77.126747,12.0,6.0,5.333333333333333,6.0,4.0,2.0
65655,107.412219,8.0,2.0,4.5,5.0,4.0,1.0
18006,102.17128199999999,8.0,4.0,5.75,6.0,4.0,1.0
22633,141.920324,13.0,24.0,6.083333333333333,7.0,4.0,3.0
28403,105.50375700000002,12.0,6.0,5.333333333333333,5.0,5.0,3.0
70566,70.68508200000001,7.0,11.0,5.818181818181818,6.0,3.0,2.0
68743,91.586922,8.0,2.0,5.0,5.0,5.0,1.0
17339,78.10195800000001,8.0,6.0,4.666666666666667,5.0,3.0,2.0
15933,73.144822,7.0,10.0,5.0,5.0,4.0,2.0
51432,50.686572,5.0,3.0,3.6666666666666665,3.0,3.0,1.0
53585,69.54990300000001,6.0,1.0,4.0,4.0,4.0,1.0
157836,94.007638,8.0,3.0,6.333333333333333,7.0,5.0,1.0
39404,71.60307300000001,7.0,6.0,5.333333333333333,5.0,5.0,2.0
24479,84.44710300000001,10.0,5.0,5.4,5.0,5.0,1.0
104498,115.25766499999999,12.0,5.0,5.4,5.0,5.0,1.0
71357,93.21025,9.0,3.0,5.0,5.0,5.0,1.0
93141,69.59923400000001,6.0,3.0,5.333333333333333,5.0,5.0,3.0
24369,138.15364300000002,10.0,2.0,3.5,4.0,3.0,1.0
56982,85.765679,10.0,6.0,5.333333333333333,5.0,5.0,1.0
106938,109.79829100000002,11.0,4.0,4.0,4.0,3.0,2.0
16228,183.05181799999997,14.0,74.0,8.337837837837839,7.0,3.0,2.0
48728,41.571073,7.0,1.0,5.0,5.0,5.0,1.0
33099,44.367114,4.0,4.0,3.5,3.0,3.0,2.0
49652,65.172171,6.0,3.0,5.333333333333333,5.0,5.0,1.0
69712,61.55072200000001,6.0,4.0,5.25,5.0,5.0,1.0
36385,121.56748400000001,9.0,1.0,5.0,5.0,5.0,1.0
109575,111.69585199999999,9.0,6.0,5.0,5.0,4.0,2.0
157753,104.573872,7.0,2.0,6.0,7.0,5.0,1.0
107213,117.57224099999999,11.0,16.0,4.75,4.0,3.0,2.0
71395,93.106337,9.0,1.0,5.0,5.0,5.0,1.0
34173,77.80783100000001,8.0,5.0,4.6,5.0,4.0,1.0
10890,95.327111,10.0,8.0,5.5,5.0,4.0,2.0
13277,112.610602,10.0,18.0,4.722222222222222,5.0,3.0,3.0
20514,77.50952500000001,8.0,1.0,3.0,3.0,3.0,1.0
108253,72.320894,9.0,4.0,5.0,5.0,4.0,2.0
97408,96.30074499999999,13.0,6.0,5.166666666666667,5.0,5.0,1.0
16821,74.06100099999999,9.0,2.0,5.0,5.0,5.0,1.0
60782,85.67920600000001,10.0,15.0,5.4,6.0,3.0,2.0
148495,74.80665300000001,7.0,10.0,5.2,5.0,5.0,2.0
66803,81.203659,7.0,18.0,4.777777777777778,5.0,3.0,2.0
107058,112.01123700000001,11.0,8.0,4.375,4.0,3.0,1.0
52291,105.690324,12.0,9.0,5.333333333333333,5.0,5.0,3.0
24099,105.04114600000001,9.0,4.0,5.25,5.0,5.0,1.0
38258,40.82932100000001,6.0,3.0,3.6666666666666665,4.0,3.0,1.0
95035,71.02472300000001,9.0,4.0,5.25,5.0,5.0,1.0
66220,89.42226699999999,10.0,1.0,5.0,5.0,5.0,1.0
13203,130.139069,9.0,18.0,7.166666666666667,8.0,5.0,2.0
70673,83.81875799999999,7.0,18.0,5.222222222222222,5.0,3.0,2.0
10960,66.14088400000001,6.0,3.0,5.333333333333333,5.0,5.0,1.0
33418,62.786168999999994,6.0,6.0,4.333333333333333,5.0,3.0,1.0
101331,102.06618399999999,11.0,6.0,5.0,5.0,4.0,2.0
108004,59.225061000000004,9.0,3.0,4.666666666666667,5.0,4.0,1.0
50747,61.317696999999995,6.0,3.0,5.333333333333333,5.0,5.0,1.0
28982,68.965666,7.0,5.0,5.4,6.0,4.0,1.0
134750,93.948637,10.0,7.0,5.571428571428571,6.0,3.0,1.0
28780,58.902665000000006,7.0,2.0,6.0,6.0,6.0,1.0
9400,117.55598,12.0,4.0,5.25,5.0,5.0,1.0
36464,63.24802900000001,7.0,6.0,4.666666666666667,5.0,3.0,1.0
59649,65.474306,5.0,6.0,4.333333333333333,5.0,3.0,2.0
97254,41.987518,6.0,1.0,5.0,5.0,5.0,1.0
32049,37.857427,7.0,4.0,4.5,6.0,3.0,2.0
66735,82.96199600000001,8.0,4.0,4.25,5.0,3.0,2.0
108250,71.181775,9.0,4.0,5.0,5.0,4.0,2.0
142835,114.73503499999998,9.0,30.0,5.8,6.0,3.0,3.0
100278,88.058271,9.0,4.0,5.5,6.0,5.0,1.0
109189,74.552316,12.0,4.0,5.0,5.0,5.0,2.0
65788,113.340375,9.0,11.0,6.2727272727272725,7.0,3.0,1.0
32350,37.453607999999996,3.0,1.0,5.0,5.0,5.0,1.0
