space_names,datetimes,mixing_volume,ventilation_volume,temperature,zone_inflow,zone_outflow,zone_dimless_flow,zone_dimless_temp,case_name
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T08:00:00.000000,759.7651528693584,604.3014782278302,16.585619227715533,1.094010707225639,0.9917568622763231,0.02585697562563812,0.981397587438789,100397
BLOCK `BEDROOM_6` STOREY 0,2017-07-22T09:00:00.000000,4510.174892978575,0.0,18.51553091200847,2.505494202600633,4.110877550668117,0.057773102485786675,0.9927898612336982,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-01T00:00:00.000000,3051.2876617655943,0.0,18.287733278036065,1.691721987858576,1.6917227425277073,0.062466803999946634,1.0188152244031232,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-01T08:00:00.000000,2823.943219033572,0.0,17.189959343339694,1.5703198801638636,1.5704644670306482,0.08178800494287308,0.985097956638378,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-01T12:00:00.000000,7020.516022030763,0.0,21.14196659927621,3.9025413299804512,3.9025695798624302,0.08113264695788064,0.9856394684977254,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-03T23:00:00.000000,4772.302821245246,0.0,22.475953607875073,2.649368904877309,2.649369114809068,0.07802939579135869,1.0124303426970755,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-04T08:00:00.000000,3444.0196029222775,0.0,20.222488189260737,1.9144135746609463,1.9144142248756209,0.07893681697207099,0.9852613003293904,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-05T10:00:00.000000,5577.775900239143,0.0,19.926547532230412,3.1043436995232128,3.104334973700324,0.055451732608276724,0.9767915456975693,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-05T13:00:00.000000,7678.460552880565,0.0,19.128375493392628,4.261905490620877,4.261879008487661,0.05923507025065264,1.0067566049154015,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-05T14:00:00.000000,5164.361686491147,0.0,19.206716325055222,2.8694702574578335,2.8694702292208984,0.04609736509877753,0.9925951589175824,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-06T12:00:00.000000,1832.1075530175076,0.0,19.39802514257617,1.0188167749894672,1.0188167623972746,0.016859705713708036,0.9846713270343233,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-06T22:00:00.000000,6493.500432063242,0.0,15.566996757437593,3.6059535345067073,3.605958106168189,0.06395006848592724,1.0092056244692118,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-12T10:00:00.000000,1414.422221311399,0.0,18.748728143019427,0.7862987383043866,0.7862987315855481,0.018438696439378812,0.9828953154924995,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-20T08:00:00.000000,2074.944175706842,0.0,16.608707162108068,1.1531400379868595,1.1531454804348527,0.06712560557744819,0.985679950273476,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-20T10:00:00.000000,3230.3475463052687,0.0,19.090891463292003,1.79692387581817,1.7968801808121098,0.06787087911592432,0.9815368361589719,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-20T11:00:00.000000,5049.6819828910675,0.0,20.11245094915337,2.8080449959912186,2.8080454028236774,0.07939462557638731,0.9859044582918319,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-22T10:00:00.000000,2507.5536439865004,0.0,20.17502084266912,1.393894230214202,1.393893148020779,0.07337144255058228,0.9841473581789815,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-27T22:00:00.000000,5637.106175640157,0.0,17.553833780702654,3.1305412671026493,3.130548704437739,0.07008938517606798,1.007393617256967,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-28T07:00:00.000000,1348.8385544646728,0.0,16.388283590904937,0.7495530977859879,0.7495530977859668,0.028096586706007683,0.9962482426082029,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-06-28T14:00:00.000000,3814.0416895146404,0.0,22.635348098392697,2.1200519511898266,2.1200667934934554,0.04113688606508732,0.9938681931237188,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
BLOCK `CORRIDOR_8` STOREY 0,2017-07-13T22:00:00.000000,5025.577389340458,0.0,16.272517998644098,2.7911540954574465,2.7911168563306608,0.07155691287692562,1.0060289334555859,100397
